*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-5.213236	20.796436	-1.723129	2.960750	278.256039	151.000000
-5.207945	20.800605	-1.723316	2.978880	278.311815	151.500000
-5.203183	20.808942	-1.723503	2.996633	278.423366	152.000000
-5.197363	20.829785	-1.723316	3.014764	278.702246	152.500000
-5.193131	20.827700	-1.723129	3.032895	278.674358	153.000000
-5.187840	20.861049	-1.723129	3.052914	279.120564	153.500000
-5.183607	20.875639	-1.723129	3.068778	279.315779	154.000000
-5.177787	20.879808	-1.723129	3.087664	279.371555	154.500000
-5.173025	20.892314	-1.723129	3.107684	279.538883	155.000000
-5.167734	20.883977	-1.723316	3.125814	279.427331	155.500000
-5.163501	20.913157	-1.723129	3.145078	279.817762	156.000000
-5.158211	20.934000	-1.723316	3.164720	280.096641	156.500000
-5.152920	20.942337	-1.723316	3.183606	280.208192	157.000000
-5.147629	20.959011	-1.723129	3.202492	280.431296	157.500000
-5.143396	20.954843	-1.723129	3.221567	280.375520	158.000000
-5.138105	20.975686	-1.723503	3.240642	280.654399	158.500000
-5.132814	20.994444	-1.723316	3.259151	280.905390	159.000000
-5.128052	20.998613	-1.723129	3.277470	280.961166	159.500000
-5.123290	21.017372	-1.723316	3.296923	281.212157	160.000000
-5.116941	20.959011	-1.723316	3.311465	280.431296	160.500000
-5.113767	21.034046	-1.722942	3.330918	281.435260	161.000000
-5.108476	21.048636	-1.723129	3.349426	281.630476	161.500000
-5.103185	21.063226	-1.723129	3.368501	281.825691	162.000000
-5.098952	21.075732	-1.723129	3.386821	281.993018	162.500000
-5.093132	21.084069	-1.723316	3.405707	282.104570	163.000000
-5.088370	21.090322	-1.723129	3.423838	282.188234	163.500000
-5.083079	21.075732	-1.723503	3.440835	281.993018	164.000000
-5.078318	21.117418	-1.723503	3.460477	282.550777	164.500000
-5.073556	21.129924	-1.723316	3.479741	282.718104	165.000000
-5.068265	21.134093	-1.723129	3.498249	282.773880	165.500000
-5.062974	21.154936	-1.723129	3.516946	283.052759	166.000000
-5.057683	21.154936	-1.722942	3.535644	283.052759	166.500000
-5.052921	21.175779	-1.723316	3.554907	283.331638	167.000000
-5.048159	21.192453	-1.723503	3.572283	283.554741	167.500000
-5.042868	21.192453	-1.723503	3.592680	283.554741	168.000000
-5.038106	21.213296	-1.723316	3.611566	283.833620	168.500000
-5.032286	21.200790	-1.723503	3.630830	283.666293	169.000000
-5.028054	21.219549	-1.723129	3.649044	283.917284	169.500000
-5.023292	21.244560	-1.723129	3.669063	284.251939	170.000000
-5.018530	21.246645	-1.723503	3.688704	284.279827	170.500000
-5.013239	21.257066	-1.723129	3.707591	284.419266	171.000000
-5.008477	21.269572	-1.723129	3.726477	284.586594	171.500000
-5.002657	21.275825	-1.723129	3.744607	284.670257	172.000000
-4.998425	21.261235	-1.723129	3.762738	284.475042	172.500000
-4.993134	21.309174	-1.723316	3.783513	285.116464	173.000000
-4.988901	21.311258	-1.723129	3.802777	285.144352	173.500000
-4.981494	21.271656	-1.723129	3.820907	284.614482	174.000000
-4.978319	21.342523	-1.723129	3.840549	285.562670	174.500000
-4.974086	21.325848	-1.723129	3.859813	285.339567	175.000000
-4.968266	21.355028	-1.723503	3.880588	285.729998	175.500000
-4.962975	21.375871	-1.723316	3.900607	286.008877	176.000000
-4.958213	21.375871	-1.723129	3.920626	286.008877	176.500000
-4.953452	21.384209	-1.723316	3.940268	286.120428	177.000000
-4.949748	21.352944	-1.723503	3.958398	285.702110	177.500000
-4.943399	21.396714	-1.723129	3.978040	286.287756	178.000000
-4.938108	21.411304	-1.723129	3.997304	286.482971	178.500000
-4.932817	21.419642	-1.723129	4.017323	286.594523	179.000000
-4.928584	21.432147	-1.723129	4.036965	286.761850	179.500000
-4.923822	21.434232	-1.723503	4.056606	286.789738	180.000000
-4.918002	21.442569	-1.723316	4.075492	286.901290	180.500000
-4.913770	21.425895	-1.723129	4.092490	286.678187	181.000000
-4.908479	21.469665	-1.723129	4.114398	287.263833	181.500000
-4.903717	21.469665	-1.723316	4.133662	287.263833	182.000000
-4.896839	21.484255	-1.723316	4.154059	287.459048	182.500000
-4.893664	21.492592	-1.723129	4.172945	287.570599	183.000000
-4.888373	21.488424	-1.722755	4.192587	287.514824	183.500000
-4.883082	21.511351	-1.723316	4.212984	287.821591	184.000000
-4.877791	21.525941	-1.723316	4.231870	288.016806	184.500000
-4.873559	21.530110	-1.723129	4.252644	288.072582	185.000000
-4.868268	21.542615	-1.723129	4.272664	288.239909	185.500000
-4.862977	21.519688	-1.722942	4.292305	287.933142	186.000000
-4.858215	21.557205	-1.723316	4.312325	288.435125	186.500000
-4.852924	21.567627	-1.723129	4.333099	288.574564	187.000000
-4.850279	21.509267	-1.723129	4.348964	287.793703	187.500000
-4.842871	21.600976	-1.723129	4.369361	289.020771	188.000000
-4.837580	21.580133	-1.723129	4.389758	288.741892	188.500000
-4.833348	21.592639	-1.722942	4.409399	288.909219	189.000000
-4.828057	21.613482	-1.722755	4.429796	289.188098	189.500000
-4.822766	21.609313	-1.723316	4.449438	289.132322	190.000000
-4.818533	21.613482	-1.722942	4.469457	289.188098	190.500000
-4.812184	21.603060	-1.723129	4.488721	289.048658	191.000000
-4.807951	21.630156	-1.723503	4.508363	289.411201	191.500000
-4.803189	21.642662	-1.723503	4.528004	289.578529	192.000000
-4.797898	21.650999	-1.723503	4.548779	289.690080	192.500000
-4.793137	21.659336	-1.723503	4.568798	289.801632	193.000000
-4.788375	21.663505	-1.723129	4.588440	289.857408	193.500000
-4.782555	21.676011	-1.723129	4.608837	290.024735	194.000000
-4.778322	21.632240	-1.723129	4.626212	289.439089	194.500000
-4.773031	21.692685	-1.723316	4.647365	290.247838	195.000000
-4.768798	21.701022	-1.723503	4.667006	290.359390	195.500000
-4.763507	21.701022	-1.723316	4.687403	290.359390	196.000000
-4.758745	21.711444	-1.723129	4.706667	290.498830	196.500000
-4.752925	21.709359	-1.722755	4.726309	290.470942	197.000000
-4.748693	21.721865	-1.723129	4.747084	290.638269	197.500000
-4.743931	21.742708	-1.723316	4.766347	290.917148	198.000000
-4.739169	21.742708	-1.723129	4.786367	290.917148	198.500000
-4.733878	21.748961	-1.722942	4.807519	291.000812	199.000000
